日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-13,601727,9.48,9.15,9.51,9.06,4590639,4233951488.0,4.75,-3.48,-0.33,3.64
2026-01-14,601727,9.15,9.27,9.52,9.12,4732506,4411437056.0,4.37,1.31,0.12,3.75
2026-01-15,601727,9.15,9.1,9.2,8.93,2706821,2453571072.0,2.91,-1.83,-0.17,2.15
2026-01-16,601727,9.25,9.16,9.38,9.15,2542873,2353653760.0,2.53,0.66,0.06,2.02
2026-01-19,601727,9.16,9.3,9.41,9.13,2692224,2506312448.0,3.06,1.53,0.14,2.13
2026-01-20,601727,9.31,9.3,9.47,9.24,2581879,2410384640.0,2.47,0.0,0.0,2.05
2026-01-21,601727,9.24,9.17,9.24,9.11,2055798,1884997760.0,1.4,-1.4,-0.13,1.63
2026-01-22,601727,9.32,9.38,9.64,9.32,3578950,3376029952.0,3.49,2.29,0.21,2.84
2026-01-23,601727,9.34,9.27,9.36,9.22,2365254,2189602816.0,1.49,-1.17,-0.11,1.87
2026-01-26,601727,9.28,9.16,9.3,9.06,2209111,2020995712.0,2.59,-1.19,-0.11,1.75
2026-01-27,601727,9.1,8.95,9.11,8.84,1842957,1645957120.0,2.95,-2.29,-0.21,1.46
2026-01-28,601727,8.94,8.89,8.97,8.85,1237736,1100642048.0,1.34,-0.67,-0.06,0.98
2026-01-29,601727,8.85,8.76,8.86,8.71,1357826,1193003776.0,1.69,-1.46,-0.13,1.08
2026-01-30,601727,8.74,8.71,8.82,8.51,1463726,1268247424.0,3.54,-0.57,-0.05,1.16
2026-02-02,601727,8.71,8.61,8.85,8.6,1312188,1144815232.0,2.87,-1.15,-0.1,1.04
2026-02-03,601727,8.65,8.74,8.74,8.62,1081388,939555264.0,1.39,1.51,0.13,0.86
2026-02-04,601727,8.7,8.75,8.78,8.68,910455,795151040.0,1.14,0.11,0.01,0.72
2026-02-05,601727,8.71,8.61,8.71,8.59,989652,853968640.0,1.37,-1.6,-0.14,0.78
2026-02-06,601727,8.55,8.61,8.67,8.48,768647,661167168.0,2.21,0.0,0.0,0.61
2026-02-09,601727,8.68,8.79,8.83,8.65,1305945,1142160640.0,2.09,2.09,0.18,1.04
2026-02-10,601727,8.79,8.84,8.92,8.76,1124156,993257536.0,1.82,0.57,0.05,0.89
2026-02-11,601727,8.84,8.71,8.84,8.7,831164,726519872.0,1.58,-1.47,-0.13,0.66
2026-02-12,601727,8.71,8.8,8.84,8.64,1198484,1050483136.0,2.3,1.03,0.09,0.95
2026-02-13,601727,8.71,8.72,8.8,8.69,860395,752285696.0,1.25,-0.91,-0.08,0.68
2026-02-24,601727,8.81,8.95,8.98,8.8,1909865,1702253440.0,2.06,2.64,0.23,1.51
2026-02-25,601727,8.97,8.89,9.03,8.85,1596765,1424612480.0,2.01,-0.67,-0.06,1.27
2026-02-26,601727,8.9,9.12,9.17,8.86,2858411,2585006592.0,3.49,2.59,0.23,2.27
2026-02-27,601727,9.09,9.1,9.16,9.03,1769628,1607255424.0,1.43,-0.22,-0.02,1.4
2026-03-02,601727,8.98,8.92,9.1,8.88,1925937,1725482368.0,2.42,-1.98,-0.18,1.53
2026-03-03,601727,8.93,8.5,8.99,8.5,2375835,2062807040.0,5.49,-4.71,-0.42,1.88
2026-03-04,601727,8.4,8.6,8.72,8.36,1521612,1307684224.0,4.24,1.18,0.1,1.21
2026-03-05,601727,8.73,9.46,9.46,8.72,5470395,5110245376.0,8.6,10.0,0.86,4.34
2026-03-06,601727,9.37,9.36,9.48,9.25,5970843,5586337280.0,2.43,-1.06,-0.1,4.73
2026-03-09,601727,9.23,9.43,9.52,9.17,4690275,4409349632.0,3.74,0.75,0.07,3.72
2026-03-10,601727,9.52,9.42,9.66,9.36,4538585,4300382720.0,3.18,-0.11,-0.01,3.6
2026-03-11,601727,9.39,9.35,9.46,9.28,3042236,2850358016.0,1.91,-0.74,-0.07,2.41
2026-03-12,601727,9.33,9.24,9.34,9.07,2927178,2691449344.0,2.89,-1.18,-0.11,2.32
2026-03-13,601727,9.2,9.03,9.22,9.01,2087900,1900972160.0,2.27,-2.27,-0.21,1.66
2026-03-16,601727,9.09,8.85,9.13,8.78,2035658,1807746048.0,3.88,-1.99,-0.18,1.61
2026-03-17,601727,8.88,8.62,8.9,8.61,2029996,1775446400.0,3.28,-2.6,-0.23,1.61
2026-03-18,601727,8.6,8.71,8.72,8.5,1879135,1619307904.0,2.55,1.04,0.09,1.49
2026-03-19,601727,8.6,8.54,8.62,8.5,1400249,1197307776.0,1.38,-1.95,-0.17,1.11
2026-03-20,601727,8.54,8.33,8.58,8.33,1551189,1310519040.0,2.93,-2.46,-0.21,1.23
2026-03-23,601727,8.17,7.96,8.3,7.9,1970332,1592889344.0,4.8,-4.44,-0.37,1.56
